Designator,Footprint,Quantity,Value,LCSC Part #
BOOT0,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,BOOT0,
"C1, C18, C19, C2, C20, C3",0603,6,10uF,C96446
"C10, C11, C9",0603,3,2.2uF,C23630
"C12, C13, C14, C21",0603,4,1nF, C1588
"C15, C16, C17, C22, C38, C39, C4, C40, C5",0603,9,100nF,C14663
"C23, C24, C25",0402,3,1nF,C106205
"C26, C27, C52",0402,3,1uF,C52923
"C28, C29, C30, C32, C35, C53, C55, C57",0402,8,100nF,C60474
"C31, C33",0603,2,12pf,C519482
"C34, C36, C54",0402,3,2.2uF,C77002
C37,0402,1,"4,7uF",C368809
"C41, C42, C43",0603,3,47pF,C1613
C44,0603,1,3.3nF,C1613
"C45, C46",1210,2,470nF,C192761
"C47, C48, C49",0805,3,1uF,C28323
C50,0805,1,39nF,C309493
C51,0805,1,100nF,C476766
C58,0402,1,68pF,C368809
C59,0402,1,390pF,C282239
"C6, C7",0402,2,100p,C1546
"C60, C64, C65, C66",1206,4,47uF,C403725
C61,0603,1,470nF,C1623
C8,0402,1,4.7n,C1538
D1,0603,1,LED,C72041
"D2, D3, D4",D_MELF,3,SM4007, C412437
D5,0603,1,R,C2286
D6,0603,1,G,C87326
D7,0603,1,B,C2689219
D8,D_SMA,1,1N5820, C110484
"F1, F2, F3, F4, F5",1206,5,1a,C2982267
J1,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,POWER, C3029369
J10,JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical,1,DASH/BLE,C5340799
J12,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,PPM, C3029369
J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"J16, J17",PinSocket_1x02_P2.00mm_Vertical_SMD_Pin1Left,2,SH1,
J18,PinSocket_1x02_P2.00mm_Vertical_SMD_Pin1Left,1,SH1,C39832930
J2,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,CAN,C3029370
J6,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,BMI160,C3029370
J7,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,TEMP,C3029368
J8,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,BMS,C3029370
J9,JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical,1,HALL,C3029371
L1,IND-SMD_L13.5-W12.8,1,4.7uH,C5298321
L2,IND-SMD_L7.1-W6.6-1,1,68uH,C2894721
"Q1, Q3",DFN-8_L5.9-W5.2-P1.27-LS6.2-BL,2,BSC320N20NS3G,C501501
R1,0603,1,30k,C22984
"R10, R12",0603,2,1k,C21190
"R11, R13, R14, R15, R16, R17",0402,6,10k,C25744
"R18, R20",0603,2,1.8K,C4177
R19,0603,1,100R,C105588
"R2, R3",0402,2,100Ω,C25076
"R21, R24",0402,2,5.1k,C105872
"R22, R23, R26, R29, R40, R42, R7, R8, R9",0603,9,10k,C25804
"R25, R27, R28",0603,3,20k,C269687
R30,0805,1,360k,C17645
R31,0603,1,8k2,C25981
"R32, R34, R36",0805,3,150k,C17645
"R33, R35, R37",0603,3,3.3k,C25981
R38,0603,1,220k,C22961
R39,0603,1,2.1R,C482786
"R4, R5, R6",0603,3,2R2, C22939
R41,0805,1,124K,C2933298
"R43, R44",0402,2,20k,C25765
R46,0402,1,5.23k,C25907
R47,0603,1,18k,C25810
R48,0603,1,1.27K,C2930048
R49,0603,1,52.3R,C2998074
RN1,R_Array_Convex_4x0603,1,470R,C25510
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,C61063
U10,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U11,VQFN-20_L4.5-W3.5-P0.50-BL-EP,1,LM5146RGYR,C3188679
U2,SOT-223-3_TabPin2,1,LM1117DT-3.3,C126027
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230DR,C12084
"U4, U5, U6",SOT-23-8,3,INA241,C2060769
"U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,L6498DTR,C500658
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C518154
