Designator,Mid X,Mid Y,Rotation,Layer
C1,28.0,-29.4,270.0,top
C10,95.6,-61.4,270.0,top
C11,35.625,-61.3125,270.0,top
C12,41.875,-27.75,180.0,top
C13,41.85,-29.35,180.0,top
C14,45.3,-26.7,45.0,top
C15,18.7,-42.0,90.0,top
C16,52.725,-40.845,90.0,top
C17,86.7,-41.1,90.0,top
C18,27.875,-40.5,180.0,top
C19,62.225,-39.645,180.0,top
C2,26.5,-29.4,270.0,top
C20,96.2,-39.7,180.0,top
C21,91.5,-3.225,0.0,top
C22,71.4,-12.0,0.0,top
C23,62.2,-14.9,270.0,top
C24,61.5,-13.0,270.0,top
C25,61.0,-11.1,90.0,top
C26,57.2,-25.4,315.0,top
C27,56.5,-26.1,315.0,top
C28,54.4,-25.3,225.0,top
C29,47.860589,-24.560589,135.0,top
C3,29.5,-29.4,270.0,top
C30,43.3,-19.0,180.0,top
C31,41.751992,-21.148008,225.0,top
C32,43.9,-15.4,45.0,top
C33,41.301992,-24.801992,135.0,top
C34,60.1,-19.6,45.0,top
C35,47.1,-25.3,135.0,top
C36,54.5,-9.9,45.0,top
C37,54.7,-26.4,225.0,top
C38,47.025,-28.3,0.0,top
C39,50.025,-28.2,0.0,top
C4,37.5,-16.2,0.0,top
C40,53.125,-28.2,180.0,top
C41,19.5,-32.5,180.0,top
C42,53.625,-31.245,180.0,top
C43,88.0,-31.8,180.0,top
C44,33.5,-27.85,270.0,top
C45,5.4,-2.7,90.0,top
C46,2.2,-2.7,90.0,top
C47,12.12,-2.7,90.0,top
C48,10.12,-2.7,90.0,top
C49,8.1,-2.7,90.0,top
C5,44.0,-8.4,90.0,top
C50,4.8,-17.44,270.0,top
C51,6.45,-6.74,0.0,top
C52,2.98,-11.24,180.0,top
C53,71.0,-26.22,270.0,top
C54,8.9,-8.84,0.0,top
C55,6.5,-8.74,0.0,top
C57,6.3,-16.69,270.0,top
C58,7.7,-16.19,0.0,top
C59,8.225,-20.12,90.0,top
C6,81.975,-27.195,270.0,top
C60,27.1,-17.8,270.0,top
C61,10.4,-27.1,90.0,top
C64,34.3,-17.8,270.0,top
C65,31.9,-17.8,270.0,top
C66,29.5,-17.8,270.0,top
C7,81.975,-25.195,90.0,top
C8,80.975,-27.195,270.0,top
C9,70.15,-61.3875,270.0,top
D1,34.6,-24.7875,270.0,top
D2,22.9,-42.0,180.0,top
D3,57.025,-40.845,180.0,top
D4,90.9,-41.2,180.0,top
D5,53.3,-5.76875,270.0,top
D6,49.1,-5.78125,270.0,top
D7,51.2,-5.76875,270.0,top
D8,22.1,-20.0,0.0,top
F1,81.5,-20.3625,90.0,top
F2,91.35,-20.25,90.0,top
F3,95.5,-32.0,180.0,top
F4,81.2,-11.4,270.0,top
F5,71.9,-16.9625,270.0,top
J1,37.35,-3.8,0.0,top
J10,96.45,-14.45,270.0,top
J12,76.45,-13.5,270.0,top
J13,60.9,-4.48,180.0,top
J16,28.35,-61.1,0.0,bottom
J17,63.35,-61.1,0.0,bottom
J18,96.85,-61.1,0.0,bottom
J2,86.35,-26.0,270.0,top
J6,86.35,-16.375,270.0,top
J7,96.5,-4.025,270.0,top
J8,96.5,-26.0,270.0,top
J9,86.35,-6.0,270.0,top
L1,25.4,-7.7,90.0,top
L2,22.0,-25.4,0.0,top
Q1,15.1,-16.9,270.0,top
Q3,15.1,-9.2,270.0,top
R1,34.6,-21.7,270.0,top
R10,81.325,-15.7,0.0,top
R11,81.3,-5.0,0.0,top
R12,91.5,-15.1,90.0,bottom
R13,81.3,-6.0,0.0,top
R14,81.3,-7.0,0.0,top
R15,62.4,-11.6,0.0,top
R16,63.0,-12.6,0.0,top
R17,63.6,-14.4,0.0,top
R18,67.7,-8.65,0.0,top
R19,71.4,-13.5,0.0,top
R2,79.975,-27.195,270.0,top
R20,67.75,-10.15,0.0,top
R21,62.81,-10.4,0.0,top
R22,60.4,-31.4,270.0,top
R23,58.5,-30.0,90.0,top
R24,56.7,-10.3,180.0,top
R25,53.3,-2.59375,90.0,top
R26,46.7,-10.7,270.0,top
R27,49.1,-2.59375,90.0,top
R28,51.2,-2.59375,90.0,top
R29,41.7,-17.5,270.0,top
R3,79.975,-25.195,270.0,top
R30,38.35,-27.65,270.0,top
R31,35.0,-27.85,90.0,top
R32,22.0,-33.1,270.0,top
R33,19.5,-34.0,0.0,top
R34,56.125,-31.945,270.0,top
R35,53.625,-32.745,0.0,top
R36,90.5,-32.5,270.0,top
R37,87.975,-33.4,0.0,top
R38,36.54,-27.85,90.0,top
R39,3.05,-7.04,0.0,top
R4,27.875,-42.0,0.0,top
R40,2.7,-12.44,180.0,top
R41,2.5,-9.74,0.0,top
R42,2.725,-14.04,180.0,top
R43,9.1,-16.69,90.0,top
R44,10.1,-16.69,90.0,top
R46,7.7,-17.19,180.0,top
R47,10.2,-19.1,180.0,top
R48,6.2,-20.0,180.0,top
R49,10.2,-20.6,180.0,top
R5,62.225,-41.245,0.0,top
R6,96.2,-41.2,0.0,top
R7,91.5,-6.225,0.0,top
R8,81.325,-17.2,0.0,top
R9,91.5,-4.725,0.0,top
RN1,71.1,-9.5,0.0,top
U1,14.1,-26.1,0.0,top
U10,51.6,-17.9,315.0,top
U11,7.75,-12.54,0.0,top
U2,38.4,-11.7,180.0,top
U3,75.475,-26.195,270.0,top
U4,33.125,-61.3625,270.0,top
U5,67.725,-61.35,270.0,top
U6,93.1,-61.4,270.0,top
U7,21.3,-37.4,270.0,top
U8,55.425,-36.445,270.0,top
U9,89.9,-36.9,270.0,top
Y1,43.5,-22.9,225.0,top
